DOI,Rendimento (%),Temperatura (°C),Tempo (min),Solvente - Nome,Solvente - SMILES,Concentração Frutose (mmol/L),Catalisador - Nome,Catalisador - SMILES,Concentração do Cat (mol%),Aditivo - Nome,Aditivo - SMILES,Concentração do Aditivo (mol/L)
https://doi.org/10.1021/ja808537j,62,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CrCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,68,120,60,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,71,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,61,120,90,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",RuCl3,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PtCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,65,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,58,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,58,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PtCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,62,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
